Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Taylor Hendricks,4,27.5,10.5,3.5,8.8,40,1.3,3.8,33.3,2.3,2.8,81.8,1.3,5.5,6.8,1.8,2.5,0.5,2,1.8,-7
Colby Jones,5,23.9,10.4,4.2,11.8,35.6,1,4.6,21.7,1,1.8,55.6,0.4,3.4,3.8,1.2,3.2,1.6,0.2,3.2,-5
David Jones Garcia,4,17.4,10.3,3.5,7.5,46.7,1.5,3.8,40,1.8,2.3,77.8,1,4.3,5.3,1,2.5,1.3,1.5,1.5,2
Hunter Maldonado,5,25.3,10.2,3.2,8.6,37.2,0.4,1.8,22.2,3.4,4.8,70.8,0.6,3.8,4.4,4.2,3.4,1.6,0.4,2.2,-3
Jaylen Martin,5,25.6,10.2,3.2,8.2,39,0.4,3.4,11.8,3.4,4,85,2,4,6,2.4,2.2,2.4,0.4,2.8,-2
D.J. Carton,5,21.4,10,4,7.8,51.3,0.8,2.2,36.4,1.2,2,60,0.6,1.8,2.4,3,1.6,1.4,0.4,1.8,-5
Harrison Ingram,4,28.6,10,3.5,9.8,35.9,2.3,5.3,42.9,0.8,2,37.5,2.5,3.8,6.3,1,2.3,1,0.3,1.3,-2
Keshad Johnson,3,23,10,3,6.3,47.4,1,2,50,3,3.7,81.8,1.7,3,4.7,0.7,0.3,1,0.7,1,-1
Kris Murray,5,32,10,3.6,10.4,34.6,1.4,5.4,25.9,1.4,1.8,77.8,2,5.2,7.2,2.6,2.2,1,1,1.2,3
Quinten Post,2,14.7,10,3.5,5.5,63.6,1,2.5,40,2,2,100,1,1.5,2.5,1.5,1.5,0.5,0,2,1
Colin Castleton,5,23,9.8,4,6.8,58.8,0,0.2,0,1.8,1.8,100,3.4,5.2,8.6,4.4,2.6,0.6,0.4,3.6,-7
Jarrett Culver,5,23.9,9.8,3.4,8.2,41.5,0.8,3.4,23.5,2.2,3.2,68.8,2,4.2,6.2,3.8,2.4,1.2,0.4,1.6,-1
Keion Brooks Jr.,4,21.1,9.8,2.5,7.5,33.3,0.3,2.8,9.1,4.5,4.5,100,2,1.5,3.5,1.3,0.8,0.3,1.8,2.5,-5
Keyontae Johnson,5,24.9,9.8,4.2,10.4,40.4,0,1,0,1.4,2.2,63.6,1.6,5,6.6,4.2,2.6,0.6,0.4,2.6,-3
Maxwell Lewis,4,22.4,9.8,3.5,10.5,33.3,1.3,4.3,29.4,1.5,2.8,54.5,0.8,2.8,3.5,2,2,1,1,1.8,-11
Rokas Jokubaitis,5,19.1,9.8,4,7,57.1,0.8,1.6,50,1,1.4,71.4,0,1.8,1.8,3.8,3,1.2,0.2,1.2,6
Jordan Tucker,3,17.1,9.7,3,4.7,64.3,2.3,3.3,70,1.3,1.3,100,1,0.3,1.3,0.3,0.3,0.3,1.3,2,2
Quinndary Weatherspoon,3,14.2,9.7,3,8.7,34.6,0.7,3,22.2,3,5,60,0.3,2.7,3,1,2.7,2.3,0.3,2.3,-3
Branden Carlson,5,20.5,9.6,3.4,7.6,44.7,1.4,4.2,33.3,1.4,1.6,87.5,0.6,4.8,5.4,0.6,1.4,0,2.4,2,4
Daniss Jenkins,5,26.2,9.6,3,8.6,34.9,1.4,4.2,33.3,2.2,2.4,91.7,0.6,2.6,3.2,3.8,1.8,1.2,1.2,1.2,-2
Kendall Brown,5,22.7,9.6,3.4,8.2,41.5,0.4,2,20,2.4,3.4,70.6,0.8,2.4,3.2,2.2,2.4,0.2,0.8,3.6,0
Tyler Kolek,5,27.2,9.6,3.2,9,35.6,1.2,3.8,31.6,2,2.2,90.9,0.2,3.2,3.4,7,1.4,1.2,0.4,1.8,-4
Moses Brown,4,14.1,9.5,3.3,6,54.2,0,0,0,3,6,50,2,3.8,5.8,0,0.8,0.3,1.5,1.8,6
Jared Rhoden,5,19.1,9.4,3.4,7.6,44.7,1.2,3.8,31.6,1.4,1.6,87.5,0.8,2.8,3.6,2,1,0.6,0.2,1.8,-3
Kyshawn George,5,23.2,9.4,3,5.8,51.7,2,4.2,47.6,1.4,1.8,77.8,0.6,3.4,4,2,3.4,0.8,0.6,3.8,0
Jahmir Young,5,17.8,9.2,3,7,42.9,0.4,2.2,18.2,2.8,3.6,77.8,0.6,2.6,3.2,2.8,1.4,0.4,0.2,1.4,2
Robert Baker,5,21.6,9.2,3.2,9.2,34.8,1,4.6,21.7,1.8,2.6,69.2,1.2,3.8,5,1.2,2,1.2,0.8,1.8,-9
Trey Jemison III,6,28.3,9.2,4,6.8,58.5,0,0,0,1.2,2.3,50,3.3,3.2,6.5,0.8,2.2,0.7,1,4.8,13
Boo Buie III,5,21.1,9,2.8,8.6,32.6,1.6,5.4,29.6,1.8,2.2,81.8,0.2,1.2,1.4,2,1.2,1,0.2,3.4,-5
Damion Baugh,5,22,9,3,7.4,40.5,1.4,4.4,31.8,1.6,2,80,0.2,1.8,2,1,1.2,1.8,0.2,2.4,-4
Donovan Clingan,4,25.4,9,3.8,10.5,35.7,0.8,3.3,23.1,0.8,1.5,50,3.5,8.8,12.3,2,2.8,0.8,4.3,2.8,-1
Jordan Walsh,5,27.3,9,3.2,11,29.1,0.8,6,13.3,1.8,3.4,52.9,1.8,4.8,6.6,2.2,2.2,1.2,1,2.4,0
Keve Aluma,5,18.9,9,3.6,6.2,58.1,0.8,2.2,36.4,1,1,100,2,4,6,0.6,1.8,0.8,0.8,1.8,8
Miles Norris,4,18.5,9,3,6.8,44.4,1.8,4.5,38.9,1.3,1.5,83.3,2.8,3.5,6.3,0.3,1.8,0.8,1.3,1.8,4
Tidjane Salaün,3,19.4,9,3.7,8.7,42.3,0.3,3.3,10,1.3,2.7,50,3,4,7,0.3,0.7,0,0,2,2
Tristen Newton,5,21.6,9,1.6,8,20,0.8,4.4,18.2,5,5.6,89.3,1.2,2.6,3.8,4.6,2.8,1.2,0.4,2.4,-3
Tyler Smith,5,21.9,9,3.8,9.4,40.4,1.4,5,28,0,0.2,0,2.2,4.8,7,1.4,1,0.8,1,1.4,-6
Bronny James,4,25.1,8.8,3.5,10,35,0.8,4.8,15.8,1,1,100,0.3,3.3,3.5,1,2.3,0.8,0.5,1.8,-10
Isaiah Stevens,6,26.7,8.8,3.2,5.3,59.4,1.2,1.8,63.6,1.3,1.5,88.9,0.7,2.5,3.2,7.8,2.7,0.8,0.3,2.8,14
Dereon Seabron,3,21.4,8.7,2.7,5,53.3,0.7,1.3,50,2.7,3.3,80,0.7,3.7,4.3,2.7,1.3,0,0.3,1,-1
Quincy Olivari,3,16.6,8.7,3,8.7,34.6,2.3,7.7,30.4,0.3,0.3,100,1.3,0.3,1.7,0.3,1,0.3,0,2.3,9
Justin Edwards,5,20.3,8.6,3.6,8,45,0.6,3,20,0.8,1.2,66.7,0.6,2.6,3.2,1.6,1.6,0.2,0.4,2.6,2
DeJon Jarreau,6,17.4,8.5,2.5,5.8,42.9,0.7,1.5,44.4,2.8,3.3,85,0.7,1.8,2.5,2.2,0.5,1.2,0.5,1.7,2
Justin Minaya,4,20.6,8.5,3,5.3,57.1,1.8,3.8,46.7,0.8,1,75,1,2.3,3.3,1.8,0.5,1.8,0.8,2.3,0
Marcus Garrett,4,20.7,8.5,3.3,7.3,44.8,0.3,1.5,16.7,1.8,2,87.5,1,2.8,3.8,1.5,1,1.5,0.3,0.8,9
Ariel Hukporti,5,18.9,8.4,3.6,5.6,64.3,0,0,0,1.2,2,60,1.4,5.8,7.2,1.2,1.6,0,0.6,2.4,-6
Killian Tillie,5,17.2,8.4,3.2,6.6,48.5,1.4,3.4,41.2,0.6,0.8,75,1,2.8,3.8,0.6,0.8,0.4,1,3.6,0
Armando Bacot,3,18.5,8.3,3.7,6,61.1,0.3,0.3,100,0.7,1.3,50,2.3,2.7,5,1,2.7,1.7,1,2.7,1
Luke Travers,4,23.2,8.3,3.3,6.8,48.1,0,1.8,0,1.8,2,87.5,0.8,3.8,4.5,2,2.5,1.3,0.5,2,1
Tyson Ward,4,20.8,8.3,3.3,9.3,35.1,1,5,20,0.8,1.3,60,0.3,3,3.3,1,2,0.8,0.8,2.5,-8
Enrique Freeman,5,23.8,8.2,3.4,5.6,60.7,0.4,1.2,33.3,1,2.2,45.5,1.4,3,4.4,1,1.6,0.6,1,1.8,-5
Ethan Thompson,5,18.9,8.2,2,6.8,29.4,0.6,2.4,25,3.6,4,90,1.4,1.6,3,2,2,1.6,1,1.4,7
Jamal Shead,5,20.5,8.2,3.2,7.6,42.1,0.6,2.2,27.3,1.2,2,60,1.2,2.2,3.4,3.8,2,1.2,0.4,3,-4
Yuri Collins,5,25.8,8.2,3,6.2,48.4,0.2,1.4,14.3,2,2.8,71.4,0.4,3.2,3.6,5,2.8,0.8,0,1.8,3
Charlie Brown Jr.,5,18.8,8,2.4,6.4,37.5,1.2,4,30,2,2,100,0.6,2,2.6,1,1.4,1.2,0.8,1,-2
Eugene Omoruyi,1,24.2,8,1,9,11.1,1,2,50,5,8,62.5,2,3,5,2,3,4,1,2,-5
Jacob Gilyard,3,32.3,8,2.7,6,44.4,2,5.3,37.5,0.7,1,66.7,1,1.3,2.3,5.7,2.3,3.3,0.3,3,7
Yves Missi,4,21.7,8,3,6.5,46.2,0,0,0,2,3,66.7,2.3,2.5,4.8,2,2,0.3,1.8,2.8,-9
E.J. Liddell,5,18.7,7.8,2,6,33.3,0.6,2.8,21.4,3.2,4.2,76.2,1.4,2.6,4,1,1,0,1.2,1.8,1
Emanuel Miller,5,21.8,7.8,3.2,6.8,47.1,0.6,1.6,37.5,0.8,1.4,57.1,2,4,6,2.4,0.8,2,0.6,1,3
Hugo Besson,4,16.8,7.8,2,6,33.3,0.5,2.8,18.2,3.3,4.5,72.2,0,2.3,2.3,3.3,1.3,0.8,0,1,-5
RayJ Dennis,5,22.4,7.8,2.6,6.6,39.4,1.8,3.6,50,0.8,1.2,66.7,1,2.8,3.8,4.6,2.2,1,0.4,2,9
Tommy Kuhse,4,20.6,7.8,3,8.5,35.3,1.5,4,37.5,0.3,0.5,50,1,1.8,2.8,3.3,1,1,0,1,7
Isaiah Miller,6,18.4,7.7,3.2,7,45.2,0.5,1.3,37.5,0.8,1,83.3,1,2.5,3.5,1.8,0.5,2.2,0.2,1.8,-2
Alex Reese,5,12,7.6,2.4,7.4,32.4,1.6,5.4,29.6,1.2,1.4,85.7,0.6,1.6,2.2,0.4,1.4,0.6,0.4,1,-4
Elijah Harkless,5,16.3,7.6,2.2,5.6,39.3,1,3.2,31.3,2.2,2.8,78.6,0.2,2.6,2.8,1.2,1,0.8,0.4,2,5
Jarkel Joiner,5,19.9,7.6,2.4,6.4,37.5,1,2.8,35.7,1.8,3,60,0.2,2.8,3,3.4,1.2,0.8,0,1.2,1
Jayce Johnson,5,13.7,7.6,3,4.8,62.5,0,0,0,1.6,2.4,66.7,1.8,2.6,4.4,0.4,0.6,0.4,0.4,0.4,-1
Babacar Sane,2,13.6,7.5,2.5,5,50,1,2.5,40,1.5,2.5,60,2.5,1.5,4,0,0.5,0.5,0,2.5,1
Jarod Lucas,4,13.3,7.5,2,4.8,42.1,1.3,3.5,35.7,2.3,2.5,90,0.5,0.5,1,1,0.8,0.3,0,0.8,-6
Mohamed Diarra,2,11.7,7.5,2.5,5,50,0.5,2.5,20,2,3,66.7,1,2,3,1,1,0.5,0,2,3
Brandon Slater,5,18.2,7.4,2.6,6.4,40.6,1.2,3.8,31.6,1,1.4,71.4,0.6,2,2.6,1,1.4,1.2,0.2,2,8
Buddy Boeheim,5,16.2,7.4,2.4,6.6,36.4,2,5.6,35.7,0.6,1.2,50,0.4,1.6,2,0.8,0.8,0.8,0.2,0.6,-2
Jamison Battle,5,14,7.4,2.6,4.6,56.5,1.8,3,60,0.4,0.4,100,0.2,0.8,1,1,0.2,0.2,0,0.2,-3
Drew Peterson,3,23.2,7.3,2.7,7.3,36.4,1.3,5.3,25,0.7,1,66.7,0.3,3,3.3,2,1.7,0.7,0.3,1.7,-8
Hunter Cattoor,4,16.7,7.3,2,5.5,36.4,2,5.3,38.1,1.3,1.3,100,0.3,2,2.3,1.3,0.5,1,0,1.3,-2
Nathan Mensah,3,14.1,7.3,2.7,4,66.7,0,0,0,2,2,100,3.3,3.7,7,0.7,1.3,1.3,0.7,3,4
Sidy Cissoko,4,28,7.3,1.5,7,21.4,0.3,2.8,9.1,4,5.8,69.6,1.3,3.3,4.5,2,3.5,1.5,0,3.3,4
Tyler Cook,4,16.1,7.3,2.8,4.5,61.1,0,0,0,1.8,2.5,70,2,1.8,3.8,1.8,1,0,0.3,1,3
Armel Traore,5,17.2,7.2,2.6,4.4,59.1,0.2,1,20,1.8,2.8,64.3,1.8,3,4.8,0.6,1.2,0.6,0.4,2.8,3
Darius Brown,5,15.8,7.2,2.8,4.6,60.9,1.4,3,46.7,0.2,0.4,50,0.6,2,2.6,3.6,1,1,0.4,1,9
Melvin Ajinca,5,22,7.2,2.6,8.8,29.5,1,5,20,1,1,100,0.6,2,2.6,0.6,2,0.6,0.2,2,-8
Robert Franks,5,17.6,7.2,2.6,5.8,44.8,2,4.8,41.7,0,0,0,1.2,2.8,4,0.8,1,0.6,0.2,2,2
Ade Murkey,1,10,7,3,5,60,1,2,50,0,0,0,0,2,2,1,0,0,0,2,2
Ben Sheppard,2,30.7,7,2,8,25,1,4,25,2,2,100,0,2.5,2.5,0.5,3,1.5,0,4,-3
Clarence Daniels,1,13.3,7,1,5,20,1,2,50,4,4,100,1,2,3,0,1,0,0,3,10
Henri Drell,5,23.6,7,2.6,7,37.1,0.8,3,26.7,1,1.6,62.5,1,3,4,1.6,1.8,1.4,0.4,4,-5
Izaiah Brockington,4,20.4,7,2.5,6,41.7,0.3,2,12.5,1.8,2.3,77.8,0.5,4,4.5,1,1.5,1,0,1.8,-3
Keshawn Justice,4,17.5,7,2.8,6.5,42.3,1.5,4.8,31.6,0,0,0,0.5,2.3,2.8,1.3,0.5,1.3,0.3,1.8,9
Nae'Qwan Tomlin,5,18,7,2.8,5.6,50,0.6,2.6,23.1,0.8,1.8,44.4,0.8,1.6,2.4,1,0.8,0.6,1,0.8,2
Oso Ighodaro,5,26.4,7,2.6,5.2,50,0,0,0,1.8,2,90,2.4,3.6,6,4.2,2.2,1.2,1.2,2.6,-4
Terquavion Smith,4,13.2,7,2.5,9,27.8,1.3,5.5,22.7,0.8,1.3,60,0.3,3,3.3,1.3,1.5,1.5,0.5,1.5,-2
Xavier Moon,5,19.4,7,3,6,50,1,1.6,62.5,0,0,0,0.6,2.8,3.4,3.4,3,1,0.4,1.2,-6
Pacôme Dadiet,5,26.1,6.8,2.4,7.8,30.8,0.4,3.8,10.5,1.6,2.2,72.7,0.8,3.4,4.2,1.2,1.4,0.2,0.2,2.2,-6
Ron Harper Jr.,4,15.8,6.8,2.5,6.3,40,1,3.3,30.8,0.8,1,75,1,0,1,0.8,0,0.3,0.8,1.8,-7
Sean East II,4,24.5,6.8,3,8,37.5,0.5,1.8,28.6,0.3,0.3,100,0.5,2.3,2.8,3.8,1.8,0.8,0,3,6
Taevion Kinsey,5,23.8,6.8,2.8,5.8,48.3,1.2,2.4,50,0,0,0,2.4,0.8,3.2,2.6,1.2,0.8,0.4,0.8,-4
Darius Bazley,3,18.9,6.7,2.7,5,53.3,0.3,1,33.3,1,1.7,60,1.3,3.7,5,2,1.7,0.3,1.7,2.3,3
Erik Stevenson,3,11.5,6.7,2.3,4,58.3,1.3,2,66.7,0.7,0.7,100,0.3,1,1.3,1,0.3,1,0.3,1.7,1
KJ Williams,3,19.4,6.7,2.3,7,33.3,1.3,4.3,30.8,0.7,1.3,50,1.3,5,6.3,0.3,2,0.7,0.3,3,-3
Dakota Mathias,5,11.8,6.6,2.4,5.2,46.2,1.2,2.8,42.9,0.6,0.6,100,0.4,0.8,1.2,0.2,0.4,0,0.4,1.2,-5
D'Moi Hodge,2,11.2,6.5,2.5,5,50,1.5,4,37.5,0,0,0,0,1,1,1,0.5,1,0.5,0.5,5
Javan Johnson,2,12.5,6.5,2.5,5.5,45.5,1.5,3.5,42.9,0,0,0,0,2.5,2.5,0.5,1,0.5,0.5,1,-2
Jordan Hall,4,20.1,6.5,2.3,4.8,47.4,1.5,2.8,54.5,0.5,1,50,0.5,3.5,4,1.8,1.3,1.5,1,2,-1
Kenneth Lofton Jr.,4,20.5,6.5,2.5,8,31.3,0.3,2,12.5,1.3,2.8,45.5,0,4.3,4.3,2,3.3,1.3,0.5,2.3,8
Olivier Nkamhoua,2,14.4,6.5,2.5,6,41.7,1,2.5,40,0.5,1,50,1.5,2.5,4,1.5,1,0.5,3,1,6
Isaiah Crawford,5,16.8,6.4,2.2,4.2,52.4,1.2,2,60,0.8,0.8,100,0.6,1,1.6,1.2,0.6,0.4,0.2,1.6,-2
Roman Sorkin,3,16,6.3,2.7,5.7,47.1,0.3,2.3,14.3,0.7,1.3,50,2,3.7,5.7,1.3,2,0.3,0.3,1,0
Trevor Keels,4,10.4,6.3,2.3,3.5,64.3,1.8,2.3,77.8,0,0,0,0.3,1.5,1.8,1,0.3,0.5,0,0.8,-6
Javonte Smart,5,14.3,6.2,1.8,5.6,32.1,1.2,3.4,35.3,1.4,1.8,77.8,0.2,0.4,0.6,2.8,1.6,1,0.2,1.2,-7
Jermaine Samuels Jr.,5,13.4,6.2,2,3.2,62.5,0.4,1,40,1.8,2.6,69.2,0.6,2.6,3.2,1.6,1.2,1,0.6,1.6,4
Adonis Arms,3,11,6,2.3,4,58.3,0.7,1.7,40,0.7,1.3,50,0.3,2,2.3,1,1.3,0,0.3,0,4
Alan Griffin,1,13.1,6,2,4,50,1,2,50,1,2,50,1,2,3,0,2,3,1,2,2
Amari Bailey,5,13.4,6,1.8,4.6,39.1,0.6,1.2,50,1.8,2.8,64.3,0,0.8,0.8,1.8,1.4,0.2,0.2,0.8,-1
Darin Green Jr.,2,9.3,6,2,5,40,2,4.5,44.4,0,0,0,0.5,0.5,1,0.5,1,0,0,1,3
Ochai Agbaji,4,23.2,6,2.5,7,35.7,0.3,1.8,14.3,0.8,1.3,60,1.5,3.3,4.8,1.5,1.5,1,0,2.3,-1
Tre Mitchell,3,18,6,2,3.3,60,1.3,2.3,57.1,0.7,2.3,28.6,1.3,2.3,3.7,0.7,1,0,1,1.3,0
Vincent Valerio-Bodon,2,15.8,6,1.5,4,37.5,1.5,2.5,60,1.5,2,75,1.5,3.5,5,2.5,1.5,0.5,0.5,0,5
Zach Edey,1,8.6,6,3,3,100,0,0,0,0,0,0,1,2,3,0,0,0,1,1,-3
Adem Bona,5,21,5.8,2.4,3.4,70.6,0,0,0,1,1.2,83.3,1.4,3.6,5,0.8,2.6,1,2.4,5.2,-3
DJ Burns,4,11.9,5.8,2.5,4.5,55.6,0,0,0,0.8,1,75,0.5,1.8,2.3,1,0.8,0.8,0.5,3,2
Ryan Dunn,4,25.4,5.8,2.8,8,34.4,0.3,3.3,7.7,0,0.3,0,1.3,2.5,3.8,1.8,1.5,1.3,1.5,2.3,-4
Aaron Estrada,5,13.4,5.6,2.2,5.4,40.7,0.8,2.6,30.8,0.4,0.4,100,0.2,1.6,1.8,2.2,1.6,0.2,0,1,2
Donta Scott,5,17.1,5.6,2.2,6.2,35.5,0.4,3,13.3,0.8,1.2,66.7,1.6,2,3.6,0.6,0.8,0.2,0.4,0.8,4
Isaiah Whaley,5,13,5.6,2.2,3.6,61.1,0.4,1,40,0.8,1,80,1.4,3.2,4.6,1,0.2,0.6,0.8,1.8,3
Jesse Edwards,5,17.6,5.6,2,4.6,43.5,0,0,0,1.6,3.2,50,2,2.4,4.4,1,1,0.2,1,3.8,-2
Alexandre Sarr,4,29.6,5.5,2.3,11.8,19.1,0.5,4.3,11.8,0.5,1,50,3.5,4.3,7.8,3.3,2.3,0.8,2.5,4.3,-3
Justin Lewis,4,11.8,5.5,1.5,2.8,54.5,0.8,1.3,60,1.8,1.8,100,0.3,3.3,3.5,0,0,0,0,0.5,4
Kaiser Gates,2,14.9,5.5,1.5,5,30,1.5,5,30,1,1,100,0,1.5,1.5,1.5,0.5,2,0,0.5,2
Luke Avdalovic,2,9.5,5.5,2,4,50,1.5,3.5,42.9,0,0,0,0,1.5,1.5,0.5,1.5,0,0,0.5,-1
Moses Wood,4,22.4,5.5,2,7.3,27.6,1.5,5.3,28.6,0,0,0,0.5,2.5,3,1.3,2,0.3,0.5,2.8,-5
Patrick Baldwin Jr.,2,18.7,5.5,1.5,5.5,27.3,0.5,4,12.5,2,2,100,0,2,2,3,2.5,0.5,0.5,3,-2
Tevian Jones,2,12.2,5.5,2,5,40,1.5,4,37.5,0,0,0,0.5,0,0.5,1,0,0,0.5,1.5,-7
Wendell Moore Jr.,2,23,5.5,2,8,25,0.5,3,16.7,1,1,100,0.5,2.5,3,1.5,1,1,0,1,2
Caleb Daniels,5,18,5.4,1.6,4.6,34.8,0.6,2.4,25,1.6,2,80,0.4,3.2,3.6,2.2,0.2,1.2,0.2,1,4
Tyson Walker,5,14.8,5.4,2,6.2,32.3,1,3.4,29.4,0.4,0.8,50,0.6,1,1.6,2.6,0.6,1.8,0.2,2.2,7
Yauhen Massalski,5,18.3,5.4,2.6,6.4,40.6,0,0.4,0,0.2,0.4,50,4.2,6.8,11,2.2,1.2,1,0.6,1.6,4
Zyon Pullin,6,11.9,5.3,1.8,2.8,64.7,0.3,0.3,100,1.3,2.2,61.5,0.2,0.8,1,1.7,1.2,0.2,0.2,0.7,1
