   ,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
138,Aaron Wiggins,OKC,13,21.6,10,3.9,8.2,47.7,1.5,3.3,46.5,0.6,0.7,88.9,1.3,2.5,3.8,2.2,0.8,0.3,0.7,12.1
139,Stephon Castle,SAS,14,24.6,9.9,3.5,8.8,39.8,1,3.4,29.8,1.9,2.7,68.4,0.8,1.8,2.6,3.1,0.9,0.4,1.3,9.4
140,Ty Jerome,CLE,14,16.4,9.8,3.6,6.1,59.3,1.1,2.1,53.3,1.4,1.6,82.6,0.6,1.5,2.1,3.4,1.3,0,1,12.8
141,Royce O'Neale,PHX,13,25.2,9.8,3.4,8.2,41.5,2.1,4.8,42.9,0.9,1.2,80,1.6,4.7,6.3,2.5,0.8,0.9,0.8,14.4
141,Ziaire Williams,BKN,13,21.7,9.8,3.7,8.1,45.7,1.1,3.4,31.8,1.3,1.6,81,1.2,3.7,4.8,1,1,0.4,1,11.3
143,Jaime Jaquez Jr.,MIA,8,24,9.8,3.8,8.4,44.8,0.9,2,43.8,1.4,2.4,57.9,1.9,4.5,6.4,2.6,1.1,0.1,1.8,12.6
144,Carlton Carrington,WAS,11,30.6,9.6,3.5,8.1,42.7,1.3,3.6,35,1.5,1.8,80,0.3,4.3,4.5,5.5,1.3,0.4,1.8,14.5
145,Grant Williams,CHA,12,28.3,9.6,3.2,7.5,42.2,1.8,5.1,36.1,1.4,1.8,77.3,0.8,3.8,4.7,2.3,1.3,0.7,1.8,11.9
145,Moses Moody,GSW,12,16.2,9.6,3.3,6.8,48.1,1.8,4,45.8,1.3,1.8,71.4,0.5,1.6,2.1,1,0.3,0.3,1,8.3
147,Deni Avdija,POR,13,24.9,9.5,2.8,8.2,34.6,0.8,3.3,23.3,3,3.7,81.3,1.2,4.4,5.5,3,1,0.8,2,11.7
148,Obi Toppin,IND,11,20.6,9.5,3.6,6.5,55.6,1,2.9,34.4,1.2,1.4,86.7,0.9,2.2,3.1,1.5,0.5,0.4,0.8,10.9
149,Al Horford,BOS,12,27,9.4,3.4,6.8,50,2.3,5,45,0.3,0.3,100,1,4.4,5.4,2.3,1,0.7,1.1,14.3
150,Cody Martin,CHA,12,24.3,9.4,3.4,7,48.8,1.5,3.6,41.9,1.1,1.5,72.2,0.8,3.3,4.2,2,0.8,0.3,1,11.8
151,Jay Huff,MEM,13,14.7,9.4,3.3,6,55.1,1.6,3.8,42.9,1.2,1.3,88.2,0.6,2.1,2.7,0.8,0.3,1.8,0.5,11.6
151,Taurean Prince,MIL,13,30.2,9.4,3.5,6.9,51.1,2.2,4,55.8,0.1,0.1,100,0.9,4.5,5.5,2.2,0.8,0.1,1.1,13.5
153,Amir Coffey,LAC,13,23.7,9.3,3.2,6.5,50,1.5,3.1,50,1.3,1.6,81,0.5,1.8,2.3,1.1,0.6,0,0.5,9.2
153,Dalton Knecht,LAL,13,20.2,9.3,3.5,7.2,48.4,1.8,4.4,40.4,0.6,0.6,100,0.5,1.8,2.3,1.2,0.5,0,0.5,9.2
155,Dalano Banton,POR,11,12.9,9.3,3.2,6.6,47.9,0.9,2.2,41.7,2,2.9,68.8,0.3,1.4,1.6,2.3,1.1,0.5,1.1,9.4
155,Peyton Watson,DEN,11,23.8,9.3,3.2,7.5,42.2,0.9,2.5,35.7,2,2.6,75.9,1,2.3,3.3,0.9,0.9,0.9,0.5,9.7
155,T.J. McConnell,IND,11,17,9.3,4.5,7.9,56.3,0.1,0.4,25,0.3,0.5,60,0.4,2,2.4,3.9,0.9,0.2,1.8,11.2
158,Isaiah Joe,OKC,13,21.9,9.2,3.2,7.8,41.2,2.3,6.3,36.6,0.5,0.6,75,0.8,2.5,3.2,1.5,0.7,0.2,0.2,9.9
159,Walker Kessler,UTA,9,26.4,9.2,3.9,5.7,68.6,0,0,0,1.4,2.6,56.5,3.8,6.9,10.7,1,0.4,2.8,1.7,19.6
160,Harrison Barnes,SAS,14,28.3,9.2,3.1,6.5,48.4,1.1,3,38.1,1.8,2.1,83.3,1.5,2.4,3.9,1.5,0.3,0.2,0.9,10.5
161,Guerschon Yabusele,PHI,12,22.3,9.2,3.4,7.1,48.2,1.5,4,37.5,0.8,1.3,62.5,1.6,3.3,4.9,1.8,0.8,0.4,1.3,11.7
162,Toumani Camara,POR,13,31.1,9.2,3.4,7.3,46.3,1.5,3.3,44.2,0.9,1.3,70.6,2.2,2.8,5.1,2,1.7,0.3,1.8,12.2
163,Draymond Green,GSW,12,27.8,9.1,2.8,6.3,44.7,1.6,3.5,45.2,1.8,2.6,71,0.8,4.8,5.5,5.3,1.1,1.1,1.8,16.1
164,Donte DiVincenzo,MIN,13,25.7,8.9,3,8.8,33.9,2.1,6.8,30.3,0.8,1.1,78.6,0.5,2.9,3.4,3.3,1.4,0.3,1.8,9.5
164,Jake LaRavia,MEM,13,25.1,8.9,3.2,6.4,49.4,1,2.5,39.4,1.6,2.6,61.8,1.7,3.5,5.2,3.7,1,0.5,1.5,13.5
166,Julian Strawther,DEN,11,21.3,8.9,3.2,7.2,44.3,1.3,3.6,35,1.3,1.6,77.8,0.5,1.6,2.1,1.4,0.9,0.4,1.2,8.1
167,Duncan Robinson,MIA,10,19,8.9,3.2,8.8,36.4,2.3,6.5,35.4,0.2,0.2,100,0.2,1.8,2,1.5,0.6,0.3,0.5,7.2
168,Nickeil Alexander-Walker,MIN,13,23.9,8.8,3.2,6.1,51.9,1.8,3.6,48.9,0.8,1.1,71.4,0.6,2,2.6,2.7,1.1,0.3,1.5,10.8
169,Jusuf Nurkić,PHX,12,24.6,8.8,2.8,7.2,38.4,0.8,2.9,25.7,2.6,3.9,66,1.9,8.2,10.1,1.1,0.9,0.6,2.8,12.9
170,Nic Claxton,BKN,11,24.8,8.6,3.7,5.7,65.1,0,0,0,1.2,2.5,46.4,2,5.7,7.7,2.5,0.5,1.2,1,16.3
171,Malaki Branham,SAS,12,14.6,8.6,3.1,6.3,49.3,1.2,2.5,46.7,1.3,1.5,83.3,0.1,1.7,1.8,1.2,0.4,0.2,1.3,7.4
172,Haywood Highsmith,MIA,9,24.6,8.6,3.3,5.3,62.5,1.1,2.7,41.7,0.8,1.2,63.6,0.7,2.3,3,0.8,1.7,0.4,0.3,11.7
173,Andre Drummond,PHI,11,23.4,8.5,3.4,6.8,49.3,0.1,0.4,25,1.7,3.3,52.8,3.3,6.3,9.5,0.5,1.3,0.5,1.9,13.4
174,Brandin Podziemski,GSW,11,25.7,8.5,3.5,8.7,39.6,0.8,4.1,20,0.7,1.1,66.7,1,3.8,4.8,3.5,0.9,0.4,1.4,11.1
175,Jalen Duren,DET,12,24.9,8.4,3.5,4.3,82.4,0,0,0,1.4,2.6,54.8,3.2,6.4,9.6,2.8,0.3,1.2,1.9,18.4
176,Naji Marshall,DAL,13,23.5,8.3,3.5,7.1,48.9,0.3,2.1,14.8,1.1,1.1,100,1.1,2.5,3.6,2.8,1.2,0.2,1,11.5
177,Nikola Jović,MIA,11,19.1,8.3,3.2,6.6,47.9,1.1,3.3,33.3,0.8,1.1,75,0.7,3.4,4.1,1.3,1,0.1,0.7,10.3
178,Davion Mitchell,TOR,14,29,8.2,3.2,7.7,41.7,1,3.5,28.6,0.8,1.1,68.8,0.6,2.3,2.9,6,1.1,0.3,2.1,11.6
179,Jalen Wilson,BKN,13,21.4,8.2,2.8,6.5,42.9,0.8,3.2,26.2,1.8,2,88.5,1,2.2,3.2,2.1,0.3,0,0.9,8.9
180,Sam Hauser,BOS,11,21.3,8,2.9,7.6,38.1,2.1,6.5,32.4,0.1,0.1,100,0.8,2.7,3.5,1.2,0.5,0.4,0.4,8.5
180,Trayce Jackson-Davis,GSW,12,16.7,8,3.5,5.2,67.7,0,0,0,1,1.7,60,1.3,3.5,4.8,2.3,0.3,0.5,0.8,12.8
182,Mike Conley,MIN,12,24.6,7.9,2.4,7.7,31.5,1.8,5.3,32.8,1.3,1.5,88.9,0.7,2.4,3.1,4.9,1.7,0.3,1.2,11.3
183,Kevin Porter Jr.,LAC,13,16.3,7.8,3.2,8,39.4,0.6,2.5,25,0.9,1.7,54.5,0.5,2.6,3.2,2.5,0.6,0.2,2.3,6.4
184,Jalen Smith,CHI,11,14.5,7.8,2.7,6,45.5,1.3,3.4,37.8,1.1,1.5,70.6,1.3,3.6,4.9,0.6,0.5,0.3,0.6,9.7
185,Kris Dunn,LAC,13,22.2,7.7,3.2,5.8,53.9,1.2,3.1,37.5,0.2,0.6,37.5,0.8,2.9,3.8,3.1,1,0.2,0.8,11.8
186,Anthony Black,ORL,14,24.3,7.6,2.8,6.7,41.5,0.6,2.2,25.8,1.5,2.1,72.4,0.7,2.1,2.9,3.9,0.9,0.9,2,9.7
187,Kyle Filipowski,UTA,11,18.1,7.5,2.9,5.2,56.1,0.8,2.1,39.1,0.8,1.9,42.9,0.8,3.7,4.5,1.7,0.5,0.2,1,10.1
188,Georges Niang,CLE,14,18.7,7.4,2.9,6.1,48.2,1.4,4.1,35.1,0.1,0.2,66.7,0.5,3,3.5,1,0.5,0.2,0.7,8.7
189,Ryan Dunn,PHX,12,18.4,7.4,2.9,6.7,43.8,1.5,4.5,33.3,0.1,0.3,25,0.4,2.2,2.6,0.7,0.5,0.6,0.3,7.4
190,AJ Green,MIL,12,16.9,7.3,2.4,4.9,49.2,2.3,4.8,49.1,0.2,0.2,100,0.2,1.3,1.5,0.8,0.6,0,0.5,7.3
191,Gary Trent Jr.,MIL,11,24.8,7.2,2.4,7.2,32.9,1.3,4.6,27.5,1.2,1.3,92.9,0,1.5,1.5,1,1,0,0.6,5.1
192,Kentavious Caldwell-Pope,ORL,14,29.6,7.1,2.4,7,33.7,1.1,4.6,23.4,1.4,1.4,100,0.4,2,2.4,2,1.4,0.6,0.7,8.1
193,Goga Bitadze,ORL,10,19.7,7,3.2,4.7,68.1,0,0.5,0,0.6,0.9,66.7,2.8,3.7,6.5,1.7,0.5,1.3,1.4,13.8
194,Tristan da Silva,ORL,10,24.3,7,2.6,6.9,37.7,1,3.5,28.6,0.8,1,80,0.9,2.9,3.8,1.7,0.3,0.3,0.5,8.1
195,Yves Missi,NOP,14,23.5,6.9,2.8,5.1,54.2,0,0,0,1.4,2.1,65.5,3,3.7,6.7,1.6,0.6,1.1,1.1,12.8
196,Sam Merrill,CLE,12,19.7,6.8,2.3,5.6,40.3,1.8,5,36.7,0.5,0.5,100,0.2,1.5,1.7,1.6,0.7,0.1,0.5,7
197,David Roddy,ATL,10,18.8,6.8,2.4,4.3,55.8,0.9,2.1,42.9,1.1,1.3,84.6,0.4,3.5,3.9,1.9,0.6,0.2,1.2,10.1
198,Noah Clowney,BKN,11,16.2,6.7,2.2,6.3,34.8,1.4,4,34.1,1,1.3,78.6,1.2,2.1,3.3,0.8,0.4,0.5,0.7,6.6
199,Kyle Lowry,PHI,12,24.7,6.7,2,5,40,1.4,3.8,37.8,1.3,1.6,78.9,0.5,1.8,2.3,3.6,1.3,0.4,0.8,10.1
200,Zach Collins,SAS,14,14.9,6.6,2.2,4.6,47.7,0.7,1.8,40,1.5,1.6,95.5,1.3,2.2,3.5,2.1,0.6,0.5,1,9.8
201,Jonathan Isaac,ORL,11,15.7,6.6,2.5,4.9,50,0.8,2.5,32.1,0.9,1.5,62.5,1.9,2.9,4.8,0.4,0.8,0.9,0.5,10.1
202,Jeremiah Robinson-Earl,NOP,14,19.4,6.6,2.4,5.2,45.2,0.8,2.1,36.7,1.1,1.1,100,2.2,2.1,4.3,0.9,0.5,0.1,0.8,8.7
203,Cason Wallace,OKC,13,25.2,6.5,2.8,6.8,40.9,0.8,2.7,28.6,0.2,0.2,100,0.7,2.6,3.3,1.6,1.7,0.5,0.5,9.2
204,Neemias Queta,BOS,13,19,6.5,2.9,4.5,65.5,0,0.2,0,0.7,0.9,75,2.1,3.4,5.5,0.6,0.2,0.8,0.6,11.2
205,Simone Fontecchio,DET,12,19.1,6.3,1.9,5.2,37.1,1.1,3.4,31.7,1.4,1.8,81,0.8,2.8,3.6,0.9,0.2,0.1,0.7,6.8
206,Jaxson Hayes,LAL,10,17.5,6.3,2.4,3.4,70.6,0,0,0,1.5,1.9,78.9,1.9,2.7,4.6,0.9,0.3,0.9,0.6,11
207,Ronald Holland II,DET,14,16,6.3,2.4,5.8,42,0.3,2.4,11.8,1.1,1.4,84.2,0.7,2.4,3.1,0.5,0.6,0.1,0.6,6.5
208,Isaiah Stewart,DET,14,22,6.1,2.4,4.1,56.9,0.1,0.4,16.7,1.4,1.6,86.4,2.7,4.4,7.1,1.9,0.5,1.3,1.1,13.9
209,Ben Sheppard,IND,12,20.5,6,2.3,5.1,44.3,1.5,3.7,40.9,0,0,0,0.4,1.8,2.2,1.3,0.4,0.3,0.3,7
210,Isaac Okoro,CLE,14,20.6,5.9,2.1,4.4,47.5,1.1,2.5,45.7,0.6,0.9,61.5,0.8,1.4,2.2,1.6,0.9,0.4,0.2,8
211,Kevon Looney,GSW,11,15.7,5.8,2.3,4.7,48.1,0,0,0,1.3,2.1,60.9,4.3,4.1,8.4,1.7,0.9,0.4,0.7,13.2
212,Kyle Anderson,GSW,11,16.9,5.8,2.1,5.6,37.1,0.7,2.5,29.6,0.9,1.3,71.4,0.9,2.8,3.7,2.7,1,0.8,0.4,9.8
213,Eric Gordon,PHI,10,19.3,5.8,1.8,4.7,38.3,0.8,2.7,29.6,1.4,1.8,77.8,0.2,0.8,1,1.3,0.3,0.3,1.2,4.2
214,Trey Lyles,SAC,14,19.5,5.8,1.9,5.3,36.5,1.3,3.9,33.3,0.6,0.7,90,0.6,3,3.6,0.8,0.5,0.6,0.6,7.4
215,Jarace Walker,IND,12,15.3,5.8,2.2,4.4,49.1,1,2.1,48,0.4,0.6,71.4,0.5,2.7,3.2,1.3,1.3,0.3,1.3,8.2
216,Donovan Clingan,POR,13,15.8,5.7,2.2,4.2,53.7,0.1,0.4,20,1.2,1.4,83.3,2.5,3,5.5,0.2,0.4,2.1,0.9,10.8
217,Dean Wade,CLE,12,22.6,5.7,1.9,4.9,39,1.4,4.1,34.7,0.4,1,41.7,0.7,3.5,4.2,1.7,1.1,0.4,0.3,9.2
218,Josh Green,CHA,10,23.7,5.6,1.9,4.5,42.2,1.3,2.7,48.1,0.5,0.7,71.4,0.5,1.4,1.9,1.5,0.7,0.4,0.7,6.6
219,Javonte Green,NOP,14,23.5,5.5,1.8,4.6,38.5,0.7,2,35.7,1.2,1.4,85,0.9,2.5,3.4,0.9,1.2,0.5,0.4,8
220,Terance Mann,LAC,13,22,5.5,2.1,5.3,39.1,0.5,1.8,25,0.8,1.2,73.3,1.3,2.7,4,1.6,0.5,0.2,0.6,7.7
221,Ajay Mitchell,OKC,13,15.8,5.4,2.2,4.3,51.8,0.5,1,46.2,0.5,0.5,85.7,0.3,1.5,1.8,2,0.8,0.1,0.8,7.2
222,Jamison Battle,TOR,13,14.1,5.4,1.8,4.3,42.9,1.2,3.2,39,0.5,0.6,75,0.8,1.5,2.3,0.8,0,0.2,0.3,5.8
223,Seth Curry,CHA,11,16.4,5.4,2,4.6,43.1,1.1,2.6,41.4,0.3,0.5,60,0.8,1.1,1.9,0.6,0.5,0.1,0.4,5.3
224,Keon Ellis,SAC,13,20.8,5.3,1.8,3.9,47.1,0.8,2.5,34.4,0.8,0.9,83.3,0.8,1.2,1.9,0.8,1.2,0.8,1,6.8
225,Lindy Waters III,GSW,10,13.4,5.3,2,4,50,1.1,2.7,40.7,0.2,0.2,100,0.4,1.3,1.7,1.4,0.3,0.2,0.1,6.8
226,Brandon Clarke,MEM,12,14.9,5.3,2.3,4.6,49.1,0.1,0.9,9.1,0.7,0.9,72.7,0.8,2.4,3.3,0.6,0.9,0.1,0.3,7.2
227,Johnny Juzang,UTA,9,14.8,5.2,1.6,3.9,40,1,2.8,36,1.1,1.1,100,0.2,1,1.2,0.8,0.6,0.2,0.6,5.1
228,Keon Johnson,BKN,12,13.2,5.2,1.8,4.8,37.9,1,3,33.3,0.5,0.6,85.7,0.6,2.4,3,0.9,0.3,0.3,0.8,5.8
229,Jared Butler,WAS,8,9.1,5.1,1.8,3.9,45.2,0.1,0.6,20,1.5,2.1,70.6,0.3,0.6,0.9,2.5,0.6,0.3,0.3,6.4
230,Brice Sensabaugh,UTA,9,12.6,5.1,1.7,3.8,44.1,0.9,2.4,36.4,0.9,1,88.9,0.7,1.2,1.9,0.4,0.3,0,1.2,4.3
231,Keaton Wallace,ATL,11,16.1,5.1,2,4.7,42.3,0.7,2.1,34.8,0.4,0.4,100,0.2,1.4,1.5,1.8,0.8,0.5,1,6.1
232,Jamal Shead,TOR,14,15.8,5,2,5.4,37.3,0.4,1.7,20.8,0.6,0.7,90,0.1,0.9,0.9,3.4,0.4,0.1,1.5,4.9
233,Mason Plumlee,PHX,12,17.3,5,1.9,3.1,62.2,0,0,0,1.2,2.3,51.9,1.3,4.4,5.8,1.4,0.3,0.5,0.6,10.2
234,Pat Connaughton,MIL,13,17.6,4.9,1.7,4.8,35.5,0.9,3.1,30,0.6,0.8,80,0.5,2.4,2.8,1.8,0.2,0.2,0.8,6
235,Sandro Mamukelashvili,SAS,11,9.1,4.9,1.6,2.9,56.3,1,2.1,47.8,0.6,0.6,100,0.5,2.3,2.8,0.4,0.1,0.5,0.8,6.5
236,Gary Payton II,GSW,12,11.8,4.8,2.1,3,69.4,0.2,0.7,25,0.4,0.7,62.5,0.8,0.9,1.8,1.1,0.7,0.3,0.7,6.8
237,KJ Martin,PHI,10,15.8,4.7,1.8,2.8,64.3,0.2,0.4,50,0.9,1.2,75,0.4,1.9,2.3,0.5,0.3,0.6,0.1,7
238,Quentin Grimes,DAL,12,16.3,4.7,1.7,3.8,43.5,0.8,2.3,35.7,0.5,0.8,66.7,0.4,2.3,2.8,1,0.5,0.1,0.6,6
239,Jonathan Mogbo,TOR,14,15.6,4.6,1.6,3.4,45.8,0.1,0.5,14.3,1.4,2.1,69,2.2,1.9,4.1,1.6,0.9,0.5,0.9,8.5
240,Jaden Hardy,DAL,12,13.1,4.5,1.6,4.3,36.5,0.8,2.7,28.1,0.6,0.6,100,0.3,0.9,1.3,1.3,0.5,0.1,1.2,3.7
240,Jamal Cain,NOP,10,13.4,4.5,1.6,3.8,42.1,0.7,2,35,0.6,1,60,1.1,1.8,2.9,0.6,0.1,0.5,0.7,5.3
242,Julian Phillips,CHI,13,13.9,4.5,1.6,3.7,43.8,0.8,2.2,34.5,0.5,0.9,50,0.8,1.2,2.1,0.4,0.8,0.2,0.5,4.9
243,Luke Kornet,BOS,13,16.7,4.3,1.5,2.5,62.5,0,0,0,1.2,1.3,94.1,1.9,2,3.9,1.7,0.5,0.7,0.4,9.8
243,Ousmane Dieng,OKC,13,13.1,4.3,1.5,4.4,35.1,0.7,2.6,26.5,0.5,0.7,77.8,0.6,2.4,3,0.9,0.7,0.3,0.2,6
245,Cole Anthony,ORL,12,10.6,4.3,1.3,4,33.3,0.5,1.9,26.1,1.1,1.6,68.4,0.3,2,2.3,1.8,0.7,0.1,1.3,4.8
245,Max Christie,LAL,12,15.9,4.3,1.3,3.8,34.8,0.5,1.9,26.1,1.1,1.2,92.9,0.7,1.3,2,1,0.8,0.3,0.5,5.3
245,Moussa Diabate,CHA,12,16.4,4.3,2,2.9,68.6,0,0,0,0.3,0.7,37.5,3,4.6,7.6,0.6,0.3,0.9,0.9,11.4
248,Blake Wesley,SAS,13,11.8,4.2,1.7,3.8,44,0.2,1,15.4,0.7,0.8,81.8,0.2,0.4,0.6,1.7,0.4,0.1,1.1,3.6
248,Dalen Terry,CHI,13,13.2,4.2,1.5,3.1,47.5,0.3,1,30.8,1,1.5,68.4,0.9,1,1.9,1,0.5,0.4,1.1,4.9
250,Jett Howard,ORL,14,8.7,4.2,1.4,3.6,40,1.2,3,40.5,0.1,0.1,100,0.1,0.8,0.9,0.2,0.1,0.4,0.4,3.2
251,Alex Caruso,OKC,11,19.5,4.2,1.5,5,30.9,0.6,2.9,21.9,0.5,0.6,71.4,0.8,2.1,2.9,2.3,1.7,0.6,0.6,7.5
252,Kris Murray,POR,12,13.9,4.2,1.6,3.6,44.2,0.5,1.4,35.3,0.5,1.3,40,1.3,1.4,2.7,0.8,0.7,0.1,0.6,5.1
253,Drew Eubanks,UTA,9,13.4,4,1.6,2.8,56,0.1,0.3,33.3,0.8,1.2,63.6,1.6,2.4,4,1.1,0.3,0.7,0.7,7.8
254,Andre Jackson Jr.,MIL,12,18.5,3.9,1.4,3.1,45.9,0.8,1.8,40.9,0.3,0.7,50,0.3,2,2.3,1.6,0.8,0.3,1.5,5.5
255,Gary Harris,ORL,12,17.1,3.8,1.3,3.8,35.6,1,2.8,35.3,0.2,0.3,66.7,0.5,1,1.5,0.5,0.3,0.4,0.4,3.7
255,Rayan Rupert,POR,12,10.8,3.8,1.5,3,50,0.5,1.3,37.5,0.3,0.5,66.7,0.7,1,1.7,0.3,0.5,0.1,0.5,4.2
257,Daniel Theis,NOP,11,14.3,3.6,1.5,3.3,44.4,0.2,0.9,20,0.5,0.7,75,0.7,2.8,3.5,1.4,0.3,0.6,0.7,6.7
258,Spencer Dinwiddie,DAL,12,16.8,3.6,1.2,3.6,32.6,0.7,2.4,27.6,0.6,0.8,70,0.1,0.9,1,1.7,0.3,0.3,0.6,3.6
259,Patty Mills,UTA,9,15.3,3.6,1.2,3.4,35.5,0.8,2.7,29.2,0.3,0.3,100,0.1,0.8,0.9,1.4,0.7,0.2,0.9,3.7
260,Bruno Fernando,TOR,11,9.1,3.5,1.5,3.2,48.6,0,0,0,0.5,0.5,83.3,1.5,1.9,3.4,1.1,0.1,0.6,0.9,6.1
261,Cody Williams,UTA,12,20.6,3.4,1.3,4.8,26.3,0.4,2.6,16.1,0.5,0.8,60,0.5,1.8,2.3,1.4,0.5,0.3,0.8,3.3
262,Doug McDermott,SAC,10,10.3,3.4,1.1,3.7,29.7,0.9,3.1,29,0.3,0.5,60,0,0.9,0.9,0.2,0.2,0.1,0,2
263,Nicolas Batum,LAC,13,16.5,3.3,1.2,3.2,36.6,0.7,2.3,30,0.3,0.5,66.7,0.7,1.9,2.6,1.7,0.5,0.8,0.5,6.2
263,Reed Sheppard,HOU,13,11.8,3.3,1.4,3.6,38.3,0.5,1.9,28,0,0,0,0.4,0.8,1.2,1.6,0.4,0.1,0.6,3.8
265,Tidjane Salaün,CHA,10,16.4,3,1.1,4.4,25,0.7,3,23.3,0.1,0.4,25,0.8,2.9,3.7,1.1,0.3,0,0.8,3.7
266,Gabe Vincent,LAL,13,18.1,2.9,1.2,4.2,27.8,0.5,2.6,17.6,0.2,0.3,50,0.3,0.7,1,0.5,0.7,0,0.5,1.5
267,Jabari Walker,POR,11,8.4,2.8,1,2.5,40.7,0.2,0.8,22.2,0.6,0.7,87.5,0.8,1.7,2.5,0.3,0.2,0.1,0.5,3.9
268,Johnny Davis,WAS,9,7.8,2.8,1.2,2.6,47.8,0.2,0.3,66.7,0.1,0.2,50,0.4,1,1.4,0.2,0.2,0.1,0.1,3.2
269,Matas Buzelis,CHI,12,8.5,2.8,0.9,2.8,32.4,0.5,1.5,33.3,0.4,0.7,62.5,0.4,1.6,2,0.3,0.4,0.6,0.6,3.3
270,Jordan McLaughlin,SAC,11,8.8,2.7,0.9,2.3,40,0.5,1.3,35.7,0.5,0.5,83.3,0.2,0.8,1,1,0.5,0,0.5,3.4
271,Delon Wright,MIL,10,17.5,2.4,1,3.3,30.3,0.4,2,20,0,0.2,0,0.4,1,1.4,2.2,1,0.5,0.4,4.6
271,Shake Milton,BKN,10,10.3,2.4,0.8,2.1,38.1,0.6,1.6,37.5,0.2,0.2,100,0.4,0.5,0.9,1.4,0.2,0,0.2,3.4
273,Kai Jones,LAC,10,8.6,2.3,1,1.4,71.4,0,0,0,0.3,0.5,60,1,1.1,2.1,0.3,0,0.7,0.5,4.3
274,Alex Len,SAC,11,8,2,0.9,1.5,62.5,0,0.3,0,0.2,0.4,50,0.5,2,2.5,0.8,0.2,0.7,0.5,5
274,Dwight Powell,DAL,11,9.6,2,0.5,0.7,75,0,0,0,0.9,1.3,71.4,0.8,1.5,2.4,0.8,0.4,0.5,0.4,5.2
274,Ricky Council IV,PHI,9,7.2,2,0.6,2.2,25,0.2,1,22.2,0.7,0.7,100,0.2,0.7,0.9,0.8,0,0,0.2,1.8
277,Dillon Jones,OKC,12,7,1.7,0.7,2.4,27.6,0.1,1.3,6.3,0.3,0.5,50,0.8,1.1,1.8,0.5,0.3,0.1,0.5,1.8
278,Jericho Sims,NYK,12,13,1.5,0.8,1.1,69.2,0,0,0,0,0.2,0,1.7,2.3,3.9,0.6,0.2,0.3,0.6,5.4
278,Xavier Tillman,BOS,10,9.4,1.5,0.6,2.3,26.1,0.3,1.4,21.4,0,0,0,0.6,1.4,2,0.6,0.3,0,0.3,2.4
280,Jordan Walsh,BOS,12,9,1.3,0.5,1.7,30,0.3,1.3,25,0,0.1,0,0.3,0.8,1,0.3,0.3,0.3,0.2,1.8
281,Adem Bona,PHI,9,3.7,1.2,0.6,0.7,83.3,0,0,0,0.1,0.1,100,0.6,0.9,1.4,0,0,0.3,0.2,2.7
